Title,Authors,Corporate Authors,Editors,Book Editors,Source Title,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Beginning Page,Ending Page,Article Number,DOI,Conference Title,Conference Date,Total Citations,Average per Year
"CAMERA-TRAPPING SURVEY OF MAMMALS IN AND AROUND IMBAK CANYON CONSERVATION AREA IN SABAH, MALAYSIAN BORNEO","Bernard, Henry; Ahmad, Abdul Hamid; Brodie, Jedediah; Giordano, Anthony J.; Lakim, Maklarin; Amat, Rahimatsah; Hue, Sharon Koh Pei; Khee, Lee Shan; Tuuga, Augustine; Malim, Peter Titol; Lim-Hasegawa, Darline; Wai, Yap Sau; Sinun, Waidi",,,,RAFFLES BULLETIN OF ZOOLOGY,AUG 30 2013,2013,61,2,,,,861,870,,,,,21,3
Using camera trapping and hierarchical occupancy modelling to evaluate the spatial ecology of an African mammal community,"Rich, Lindsey N.; Miller, David A. W.; Robinson, Hugh S.; McNutt, J. Weldon; Kelly, Marcella J.",,,,JOURNAL OF APPLIED ECOLOGY,AUG 2016,2016,53,4,,,,1225,1235,,10.1111/1365-2664.12650,,,18,4.5
Conserving biodiversity in a changing world: land use change and species richness in northern Tanzania,"Msuha, Maurus J.; Carbone, Chris; Pettorelli, Nathalie; Durant, Sarah M.",,,,BIODIVERSITY AND CONSERVATION,OCT 2012,2012,21,11,,,,2747,2759,,10.1007/s10531-012-0331-1,,,18,2.25
MAMMAL DIVERSITY AND CONSERVATION IN A SMALL ISOLATED FOREST OF SOUTHERN THAILAND,"Kitamura, S.; Thong-Aree, S.; Madsri, S.; Poonswad, P.",,,,RAFFLES BULLETIN OF ZOOLOGY,FEB 28 2010,2010,58,1,,,,145,156,,,,,18,1.8
"Terrestrial mammal species richness and composition in three small forest patches within an oil palm landscape in Sabah, Malaysian Borneo","Bernard, Henry; Baking, Esther L.; Giordano, Anthony J.; Wearn, Oliver R.; Ahmad, Abdul Hamid",,,,MAMMAL STUDY,SEP 2014,2014,39,3,,,,141,154,,10.3106/041.039.0303,,,16,2.67
Distribution of Wild Mammal Assemblages along an Urban-Rural-Forest Landscape Gradient in Warm-Temperate East Asia,"Saito, Masayuki; Koike, Fumito",,,,PLOS ONE,MAY 31 2013,2013,8,5,,,,,,e65464,10.1371/journal.pone.0065464,,,16,2.29
The impact of invasive cane toads on native wildlife in southern Australia,"Jolly, Christopher J.; Shine, Richard; Greenlees, Matthew J.",,,,ECOLOGY AND EVOLUTION,SEP 2015,2015,5,18,,,,3879,3894,,10.1002/ece3.1657,,,15,3
How long is enough to detect terrestrial animals? Estimating the minimum trapping effort on camera traps,"Si, Xingfeng; Kays, Roland; Ding, Ping",,,,PEERJ,MAY 8 2014,2014,2,,,,,,,e374,10.7717/peerj.374,,,15,2.5
Effective detection methods for medium-sized ground-dwelling mammals: a comparison between infrared digital cameras and hair tunnels,"Paull, David J.; Claridge, Andrew W.; Cunningham, Ross B.",,,,WILDLIFE RESEARCH,2012,2012,39,6,,,,546,553,,10.1071/WR12034,,,15,1.88
"Recovery of tree and mammal communities during large-scale forest regeneration in Kibale National Park, Uganda","Omeja, Patrick A.; Lawes, Michael J.; Corriveau, Amelie; Valenta, Kim; Sarkar, Dipto; Paim, Fernanda Pozzan; Chapman, Colin A.",,,,BIOTROPICA,NOV 2016,2016,48,6,,,,770,779,,10.1111/btp.12360,,,14,3.5
"Impact of land use on occupancy and abundance of terrestrial mammals in the Drakensberg Midlands, South Africa","Ramesh, Tharmalingam; Downs, Colleen T.",,,,JOURNAL FOR NATURE CONSERVATION,FEB 2015,2015,23,,,,,9,18,,10.1016/j.jnc.2014.12.001,,,14,2.8
,,,,,,,,,,,,,,,,,,,,
High mammal species turnover in forest patches immersed in biofuel plantations,"Beca, Gabrielle; Vancine, Mauricio H.; Carvalho, Carolina S.; Pedrosa, Felipe; Alves, Rafael Souza C.; Buscariol, Daiane; Peres, Carlos A.; Ribeiro, Milton Cezar; Galetti, Mauro",,,,BIOLOGICAL CONSERVATION,JUN 2017,2017,210,,A,,,352,359,,10.1016/j.biocon.2017.02.033,,,12,4
Hyper abundant mesopredators and bird extinction in an Atlantic forest island,"Galetti, Mauro; Bovendorp, Ricardo S.; Fadini, Rodrigo F.; Gussoni, Carlos O. A.; Rodrigues, Marcos; Alvarez, Ariane D.; Guimaraes, Paulo R., Jr.; Alves, Kaiser",,,,ZOOLOGIA,JUN 2009,2009,26,2,,,,288,298,,10.1590/S1984-46702009000200011,,,12,1.09
Integrating occupancy modeling and camera-trap data to estimate medium and large mammal detection and richness in a Central American biological corridor,"Cove, Michael V.; Spinola, R. Manuel; Jackson, Victoria L.; Saenz, Joel C.; Chassot, Olivier",,,,TROPICAL CONSERVATION SCIENCE,2013,2013,6,6,,,,781,795,,10.1177/194008291300600606,,,11,1.57
,,,,,,,,,,,,,,,,,,,,
Determinants of species richness within and across taxonomic groups in urban green spaces,"Matthies, Sarah A.; Rueter, Stefan; Schaarschmidt, Frank; Prasse, Ruediger",,,,URBAN ECOSYSTEMS,AUG 2017,2017,20,4,,,,897,909,,10.1007/s11252-017-0642-9,,,10,3.33
Terrestrial mammal responses to habitat structure and quality of remnant riparian forests in an Amazonian cattle-ranching landscape,"Zimbres, Barbara; Peres, Carlos A.; Machado, Ricardo Bomfim",,,,BIOLOGICAL CONSERVATION,FEB 2017,2017,206,,,,,283,292,,10.1016/j.biocon.2016.11.033,,,10,3.33
"An assessment of the terrestrial mammal communities in forests of Central Panama, using camera-trap surveys","Meyer, Ninon F. V.; Esser, Helen J.; Moreno, Ricardo; van Langevelde, Frank; Liefting, Yorick; Oller, David Ros; Vogels, Chantal B. F.; Carver, Andrew D.; Nielsen, Clayton K.; Jansen, Patrick A.",,,,JOURNAL FOR NATURE CONSERVATION,JUL 2015,2015,26,,,,,28,35,,10.1016/j.jnc.2015.04.003,,,10,2
No changes in seedling recruitment when terrestrial mammals are excluded in a partially defaunated Atlantic rainforest,"Brocardo, Carlos R.; Zipparro, Valesca B.; de Lima, Renato A. F.; Guevara, Roger; Galetti, Mauro",,,,BIOLOGICAL CONSERVATION,JUL 2013,2013,163,,,,SI,107,114,,10.1016/j.biocon.2013.04.024,,,10,1.43
Use of Atlantic Forest protected areas by free-ranging dogs: estimating abundance and persistence of use,"Paschoal, Ana Maria O.; Massara, Rodrigo L.; Bailey, Larissa L.; Kendall, William L.; Doherty, Paul F., Jr.; Hirsch, Andre; Chiarello, Adriano G.; Paglia, Adriano P.",,,,ECOSPHERE,OCT 2016,2016,7,10,,,,,,e01480,10.1002/ecs2.1480,,,9,2.25
Native habitat and protected area size matters: Preserving mammalian assemblages in the Maputaland Conservation Unit of South Africa,"Ramesh, Tharmalingam; Kalle, Riddhika; Rosenlund, Havard; Downs, Colleen T.",,,,FOREST ECOLOGY AND MANAGEMENT,JAN 15 2016,2016,360,,,,,20,29,,10.1016/j.foreco.2015.10.005,,,9,2.25
Defaunation and biomass collapse of mammals in the largest Atlantic forest remnant,"Galetti, M.; Brocardo, C. R.; Begotti, R. A.; Hortenci, L.; Rocha-Mendes, F.; Bernardo, C. S. S.; Bueno, R. S.; Nobre, R.; Bovendorp, R. S.; Marques, R. M.; Meirelles, F.; Gobbo, S. K.; Beca, G.; Schmaedecke, G.; Siqueira, T.",,,,ANIMAL CONSERVATION,JUN 2017,2017,20,3,,,,270,281,,10.1111/acv.12311,,,8,2.67
Quantifying mammal biodiversity co-benefits in certified tropical forests,"Sollmann, Rahel; Mohamed, Azlan; Niedballa, Jurgen; Bender, Johannes; Ambu, Laurentius; Lagan, Peter; Mannan, Sam; Ong, Robert C.; Langner, Andreas; Gardner, Beth; Wilting, Andreas",,,,DIVERSITY AND DISTRIBUTIONS,MAR 2017,2017,23,3,,,,317,328,,10.1111/ddi.12530,,,8,2.67
Effects of habitat and landscape characteristics on medium and large mammal species richness and composition in northern Uruguay,"Andrade-Nunez, Maria Jose; Aide, T. Mitchell",,,,ZOOLOGIA,DEC 2010,2010,27,6,,,,909,917,,10.1590/S1984-46702010000600012,,,8,0.8
Nonvolant Mammal Megadiversity and Conservation Issues in a Threatened Central Amazonian Hotspot in Brazil,"de Oliveira, Tadeu G.; Mazim, Fabio D.; Vieira, Odgley Q.; Barnett, Adrian P. A.; Silva, Gilberto do N.; Soares, Jose B. G.; Santos, Jean P.; da Silva, Victor F.; Araujo, Pedro A.; Tchaika, Ligia; Miranda, Cleuton L.",,,,TROPICAL CONSERVATION SCIENCE,OCT-DEC 2016,2016,9,4,,,,,,,10.1177/1940082916672340,,,7,1.75
"Contributions of the mammal community, habitat structure, and spatial distance to dung beetle community structure","Bogoni, Juliano Andre; Graipel, Mauricio Eduardo; de Castilho, Pedro Volkmer; Fantacini, Felipe Moreli; Kuhnen, Vanessa Villanova; Luiz, Micheli Ribeiro; Maccarini, Thiago Bernardes; Marcon, Cassio Batista; Pimentel Teixeira, Christiane de Souza; Tortato, Marcos Adriano; Vaz-de-Mello, Fernando Z.; Medina Hernandez, Malva Isabel",,,,BIODIVERSITY AND CONSERVATION,AUG 2016,2016,25,9,,,,1661,1675,,10.1007/s10531-016-1147-1,,,7,1.75
Grain-dependent responses of mammalian diversity to land use and the implications for conservation set-aside,"Wearn, Oliver R.; Carbone, Chris; Rowcliffe, J. Marcus; Bernard, Henry; Ewers, Robert M.",,,,ECOLOGICAL APPLICATIONS,JUL 2016,2016,26,5,,,,1409,1420,,10.1890/15-1363,,,7,1.75
Landscape features lead to shifts in communities of medium- to large-bodied mammals in subtropical Atlantic Forest,"Bogoni, Juliano Andre; Cherem, Jorge Jose; Hettwer Giehl, Eduardo Luis; Oliveira-Santos, Luiz Gustavo; de Castilho, Pedro Volkmer; Picinatto Filho, Vilmar; Fantacini, Felipe Moreli; Tortato, Marcos Adriano; Luiz, Micheli Ribeiro; Rizzaro, Renato; Graipel, Mauricio Eduardo",,,,JOURNAL OF MAMMALOGY,JUN 9 2016,2016,97,3,,,,713,725,,10.1093/jmammal/gyv215,,,7,1.75
Filming and snorkelling as visual techniques to survey fauna in difficult to access tropical rainforest streams,"Ebner, Brendan C.; Fulton, Christopher J.; Cousins, Stephen; Donaldson, James A.; Kennard, Mark J.; Meynecke, Jan-Olaf; Schaffer, Jason",,,,MARINE AND FRESHWATER RESEARCH,2015,2015,66,2,,,,120,126,,10.1071/MF13339,,,7,1.4
,,,,,,,,,,,,,,,,,,,,
Large-scale distribution patterns of carnivores in northern South Africa: implications for conservation and monitoring,"Thorn, Michelle; Green, Matthew; Keith, Mark; Marnewick, Kelly; Bateman, Philip W.; Cameron, Elissa Z.; Scott, Dawn M.",,,,ORYX,OCT 2011,2011,45,4,,,,579,586,,10.1017/S0030605311000123,,,7,0.78
Do coyotes Canis latrans influence occupancy of prey in suburban forest fragments?,"Jones, Brandon M.; Cove, Michael V.; Lashley, Marcus A.; Jackson, Victoria L.",,,,CURRENT ZOOLOGY,FEB 2016,2016,62,1,,,,1,6,,10.1093/cz/zov004,,,6,1.5
Patterns of co-existence between humans and mammals in Yemen: some species thrive while others are nearly extinct,"Khorozyan, Igor; Stanton, David; Mohammed, Murad; Al-Ra'il, Waleed; Pittet, Malini",,,,BIODIVERSITY AND CONSERVATION,JUL 2014,2014,23,8,,,,1995,2013,,10.1007/s10531-014-0700-z,,,6,1
"Comparison of two mammalian surveys made with camera traps in southeastern Brazil, focusing the abundance of wild mammals and domestic dogs","Carvalho, W. D.; Adania, C. H.; Esberard, C. E. L.",,,,BRAZILIAN JOURNAL OF BIOLOGY,FEB 2013,2013,73,1,,,,29,36,,10.1590/S1519-69842013000100005,,,6,0.86
The impact of habitat fragmentation on the ecology of xenarthrans (Mammalia) in the Brazilian Cerrado,"Zimbres, Barbara; Furtado, Mariana M.; Jacomo, Anah T. A.; Silveira, Leandro; Sollmann, Rahel; Torres, Natalia M.; Machado, Ricardo B.; Marinho-Filho, Jader",,,,LANDSCAPE ECOLOGY,FEB 2013,2013,28,2,,,,259,269,,10.1007/s10980-012-9832-2,,,6,0.86
"Large- and medium-sized mammal survey using camera traps in the Sikre River in the Rio Platano Biosphere Reserve, Honduras","Gonthier, David J.; Castaneda, Franklin E.",,,,TROPICAL CONSERVATION SCIENCE,2013,2013,6,4,,,,584,591,,10.1177/194008291300600409,,,6,0.86
Estimating mammalian species richness and occupancy in tropical forest canopies with arboreal camera traps,"Bowler, Mark T.; Tobler, Mathias W.; Endress, Bryan A.; Gilmore, Michael P.; Anderson, Matthew J.",,,,REMOTE SENSING IN ECOLOGY AND CONSERVATION,SEP 2017,2017,3,3,,,SI,146,157,,10.1002/rse2.35,,,5,1.67
Effects of peat swamp logging and agricultural expansion on species richness of native mammals in Peninsular Malaysia,"Adila, Nurfatin; Sasidhran, Selvadurai; Kamarudin, Norizah; Puan, Chong Leong; Azhar, Badrul; Lindenmayer, David B.",,,,BASIC AND APPLIED ECOLOGY,AUG 2017,2017,22,,,,,1,10,,10.1016/j.baae.2017.04.002,,,5,1.67
Logging and indigenous hunting impacts on persistence of large Neotropical animals,"Roopsind, Anand; Caughlin, T. Trevor; Sambhu, Hemchandranauth; Fragoso, Jose M. V.; Putz, Francis E.",,,,BIOTROPICA,JUL 2017,2017,49,4,,,,565,575,,10.1111/btp.12446,,,5,1.67
"Non-volant mammals from Nucleo Santa Virginia, Serra do Mar State Park, Sao Paulo, Brazil","Rocha-Mendes, Fabiana; Neves, Carolina Lima; Nobre, Rodrigo de Almeida; Marques, Renato Matos; Bianconi, Gledson Vigiano; Galetti, Mauro",,,,BIOTA NEOTROPICA,2015,2015,15,1,,,,,,,10.1590/1676-06032014000814,,,5,1
Flood-mediated use of habitat by large and midsized mammals in the Brazilian Pantanal,"De Lazari, Patrick Ricardo; dos Santos-Filho, Manoel; Canale, Gustavo Rodrigues; Graipel, Mauricio Eduardo",,,,BIOTA NEOTROPICA,APR-JUN 2013,2013,13,2,,,,70,75,,,,,5,0.71
"A Direct Comparison of Camera-Trapping and Sign Transects for Monitoring Wildlife in the Wanglang National Nature Reserve, China","Li, Sheng; McShea, William J.; Wang, Dajun; Huang, Junzhong; Shao, Liangkun",,,,WILDLIFE SOCIETY BULLETIN,SEP 2012,2012,36,3,,,,538,545,,10.1002/wsb.161,,,5,0.63
"A survey of mid and large bodied mammals in Nucleo Caraguatatuba, Serra do Mar State Park, Brazil","Norris, Darren; Ramirez, Jose Moreira; Zacchi, Carlos; Galetti, Mauro",,,,BIOTA NEOTROPICA,APR-JUN 2012,2012,12,2,,,,127,133,,10.1590/S1676-06032012000200013,,,5,0.63
High Carbon Stock forests provide co-benefits for tropical biodiversity,"Deere, Nicolas J.; Guillera-Arroita, Gurutzeta; Baking, Esther L.; Bernard, Henry; Pfeifer, Marion; Reynolds, Glen; Wearn, Oliver R.; Davies, Zoe G.; Struebig, Matthew J.",,,,JOURNAL OF APPLIED ECOLOGY,MAR 2018,2018,55,2,,,,997,1008,,10.1111/1365-2664.13023,,,4,2
Oil palm monoculture induces drastic erosion of an Amazonian forest mammal fauna,"Mendes-Oliveira, Ana Cristina; Peres, Carlos A.; Maues, Paula Cristina R. de A.; Oliveira, Geovana Linhares; Mineiro, Ivo G. B.; Silva de Maria, Susanne L.; Lima, Renata C. S.",,,,PLOS ONE,NOV 8 2017,2017,12,11,,,,,,e0187650,10.1371/journal.pone.0187650,,,4,1.33
Mammalian species abundance across a gradient of tropical land-use intensity: A hierarchical multi-species modelling approach,"Wearn, Oliver R.; Rowcliffe, J. Marcus; Carbone, Chris; Pfeifer, Marion; Bernard, Henry; Ewers, Robert M.",,,,BIOLOGICAL CONSERVATION,AUG 2017,2017,212,,A,,,162,171,,10.1016/j.biocon.2017.05.007,,,4,1.33
How and what matters: Sampling method affects biodiversity estimates of reef fishes,"Bosch, Nestor E.; Goncalves, Jorge M. S.; Erzini, Karim; Tuya, Fernando",,,,ECOLOGY AND EVOLUTION,JUL 2017,2017,7,13,,,,4891,4906,,10.1002/ece3.2979,,,4,1.33
Using camera trap data to assess the impact of bushmeat hunting on forest mammals in Tanzania,"Hegerl, Carla; Burgess, Neil D.; Nielsen, Martin R.; Martin, Emanuel; Ciolli, Marco; Rovero, Francesco",,,,ORYX,JAN 2017,2017,51,1,,,,87,97,,10.1017/S0030605315000836,,,4,1.33
"Predictors of mammal species richness in KwaZulu-Natal, South Africa","Ramesh, T.; Kalle, Riddhika; Downs, Colleen T.",,,,ECOLOGICAL INDICATORS,JAN 2016,2016,60,,,,,385,393,,10.1016/j.ecolind.2015.07.011,,,4,1
"Using Infra-Red Camera Trapping Technology to Monitor Mammals along Karakorum Highway in Khunjerab National Park, Pakistan","Wang, Yun; Wang, Yudi; Tao, Shuangcheng; Chen, Xueping; Kong, Yaping; Shah, Asif; Ye, Chengyin; Pang, Ming",,,,PAKISTAN JOURNAL OF ZOOLOGY,JUN 2014,2014,46,3,,,,725,731,,,,,4,0.67
Comparing the effectiveness of two types of camera trap for surveying ground-dwelling mammals,"Swan, Matthew; Di Stefano, Julian; Christie, Fiona",,,"Ballard, G; Banks, P; Claridge, A; Sanderson, J; Swann, D",CAMERA TRAPPING: WILDLIFE MANAGEMENT AND RESEARCH,2014,2014,,,,,,123,130,,,1st International Colloquium on Camera Trapping in Wildlife Management and Research,"SEP 13-14, 2012",4,0.67
Multi-species occupancy modelling of mammal and ground bird communities in rangeland in the Karoo: A case for dryland systems globally,"Drouilly, Marine; Clark, Allan; O'Riain, M. Justin",,,,BIOLOGICAL CONSERVATION,AUG 2018,2018,224,,,,,16,25,,10.1016/j.biocon.2018.05.013,,,3,1.5
Human-modified landscape acts as refuge for mammals in Atlantic Forest,"de Abreu Bovo, Alex Augusto; Magioli, Marcelo; Percequillo, Alexandre Reis; Kruszynski, Cecilia; Alberici, Vinicius; Mello, Marco A. R.; Correa, Lidiani Silva; Zecchini Gebin, Joao Carlos; Gomes Ribeiro, Yuri Geraldo; Costa, Francisco Borges; Ramos, Vanessa Nascimento; Benatti, Hector Ribeiro; Lopes, Beatriz; Martins, Masa Z. A.; Diniz-Reis, Thais Rovere; de Camargo, Plnio Barbosa; Labruna, Marcelo Bahia; Micchi de Barros Ferraz, Katia Maria Paschoaletto",,,,BIOTA NEOTROPICA,2018,2018,18,2,,,,,,e20170395,10.1590/1676-0611-BN-2017-0395,,,3,1.5
Subdivision design and stewardship affect bird and mammal use of conservation developments,"Farr, Cooper M.; Pejchar, Liba; Reed, Sarah E.",,,,ECOLOGICAL APPLICATIONS,JUN 2017,2017,27,4,,,,1236,1252,,10.1002/eap.1517,,,3,1
Assessing large mammal and bird richness from camera-trap records in the Hukaung Valley of Northern Myanmar,"Naing, Hla; Fuller, Todd K.; Sievert, Paul R.; Randhir, Timothy O.; Po, Saw Htoo Tha; Maung, Myint; Lynam, Antony J.; Htun, Saw; Thaw, Win Naing; Myint, Than",,,,RAFFLES BULLETIN OF ZOOLOGY,DEC 31 2015,2015,63,,,,,376,388,,,,,3,0.6
Modelling fine-scale habitat associations of medium-to-large forest mammals in the Udzungwa Mountains of Tanzania using camera trapping,"Martin, Emanuel H.; Cavada, Nathalie; Ndibalema, Vedasto G.; Rovero, Francesco",,,,TROPICAL ZOOLOGY,OCT 2 2015,2015,28,4,,,,137,151,,,,,3,0.6
"Mammal richness and diversity in Serra do Facao region, Southeastern Goias state, central Brazil","Gomes, Leonardo de Paula; Rocha, Clarisse Rezende; Brandao, Reuber Albuquerque; Marinho-Filho, Jader",,,,BIOTA NEOTROPICA,OCT-DEC 2015,2015,15,4,,,,,,e0033,10.1590/1676-0611-BN-2015-0033,,,3,0.6
Comparison of camera trapping and live trapping of mammals in Tasmanian coastal woodland and heathland,"Driessen, Michael M.; Jarman, Peter J.",,,"Ballard, G; Banks, P; Claridge, A; Sanderson, J; Swann, D",CAMERA TRAPPING: WILDLIFE MANAGEMENT AND RESEARCH,2014,2014,,,,,,253,262,,,1st International Colloquium on Camera Trapping in Wildlife Management and Research,"SEP 13-14, 2012",3,0.5
The effect of anthropic pressures and elevation on the large and medium-sized terrestrial mammals of the subtropical mountain forests (Yungas) of NW Argentina,"Di Bitetti, Mario S.; Albanesi, Sebastian A.; Jose Foguet, Maria; De Angelo, Carlos; Brown, Alejandro D.",,,,MAMMALIAN BIOLOGY,2013,2013,78,1,,,,21,27,,10.1016/j.mambio.2012.08.006,,,3,0.43
,"Ratnayeke, Shyamala; van Manen, Frank T.",,,,URSUS,2012,2012,23,2,,,,206,217,,10.2192/URSUS-D-11-00029.1,,,3,0.38
Variation in mammal species richness and relative abundance in the Karoo(</n>),"Woodgate, Zoe; Distiller, Greg; O'Riain, Justin",,,,AFRICAN JOURNAL OF RANGE & FORAGE SCIENCE,DEC 10 2018,2018,35,3-4,,,,325,334,,10.2989/10220119.2018.1522513,,,2,1
,"Linske, Megan A.; Williams, Scott C.; Stafford, Kirby C., III; Ortega, Isaac M.",,,,JOURNAL OF MEDICAL ENTOMOLOGY,MAY 2018,2018,55,3,,,,681,690,,10.1093/jme/tjx237,,,2,1
Do responsibly managed logging concessions adequately protect jaguars and other large and medium-sized mammals? Two case studies from Guatemala and Peru,"Tobler, Mathias W.; Anleu, Rony Garcia; Carrillo-Percastegui, Samia E.; Santizo, Gabriela Ponce; Polisar, John; Hartley, Alfonso Zuniga; Goldstein, Isaac",,,,BIOLOGICAL CONSERVATION,APR 2018,2018,220,,,,,245,253,,10.1016/j.biocon.2018.02.015,,,2,1
