unique ID,year,region,site,microsite,week,day,rep,photo.rep,absent.present,animal,latin.bionomial,timeblock,night.day
CO1W2,2019,,Panoche,open,2,11/24/2008,1,1,0,,,morning,day
CO1W2,2019,,Panoche,open,2,11/24/2008,1,2,0,,,morning,day
CO1W2,2019,,Panoche,open,2,11/24/2008,1,3,0,,,morning,day
CO1W2,2019,,Panoche,open,2,11/24/2008,1,4,0,,,morning,day
CO1W2,2019,,Panoche,open,2,11/24/2008,1,5,0,,,morning,day
CO1W2,2019,,Panoche,open,2,11/24/2008,1,6,0,,,morning,day
CO1W2,2019,,Panoche,open,2,11/24/2008,1,7,0,,,morning,day
CO1W2,2019,,Panoche,open,2,11/24/2008,1,8,0,,,morning,day
CO1W2,2019,,Panoche,open,2,11/24/2008,1,9,0,,,morning,day
CO1W2,2019,,Panoche,open,2,11/24/2008,1,10,0,,,morning,day
CO1W2,2019,,Panoche,open,2,11/24/2008,1,11,0,,,morning,day
CO1W2,2019,,Panoche,open,2,11/24/2008,1,12,0,,,morning,day
CO1W2,2019,,Panoche,open,2,11/24/2008,1,13,0,,,morning,day
CO1W2,2019,,Panoche,open,2,11/24/2008,1,14,0,,,morning,day
CO1W2,2019,,Panoche,open,2,11/24/2008,1,15,0,,,morning,day
CO1W2,2019,,Panoche,open,2,11/24/2008,1,16,0,,,morning,day
CO1W2,2019,,Panoche,open,2,11/24/2008,1,17,0,,,morning,day
CO1W2,2019,,Panoche,open,2,11/24/2008,1,18,0,,,morning,day
CO1W2,2019,,Panoche,open,2,11/24/2008,1,19,0,,,morning,day
CO1W2,2019,,Panoche,open,2,11/24/2008,1,20,0,,,morning,day
CO1W2,2019,,Panoche,open,2,11/24/2008,1,21,0,,,morning,day
CO1W2,2019,,Panoche,open,2,11/24/2008,1,22,0,,,morning,day
CO1W2,2019,,Panoche,open,2,11/24/2008,1,23,0,,,morning,day
CO1W2,2019,,Panoche,open,2,11/24/2008,1,24,0,,,morning,day
CO1W2,2019,,Panoche,open,2,11/24/2008,1,25,0,,,morning,day
CO1W2,2019,,Panoche,open,2,11/24/2008,1,26,0,,,morning,day
CO1W2,2019,,Panoche,open,2,11/24/2008,1,27,0,,,morning,day
CO1W2,2019,,Panoche,open,2,11/24/2008,1,28,0,,,morning,day
CO1W2,2019,,Panoche,open,2,11/24/2008,1,29,0,,,morning,day
CO1W2,2019,,Panoche,open,2,11/24/2008,1,30,0,,,morning,day
CO1W2,2019,,Panoche,open,2,11/24/2008,1,31,0,,,morning,day
CO1W2,2019,,Panoche,open,2,11/24/2008,1,32,0,,,morning,day
CO1W2,2019,,Panoche,open,2,11/24/2008,1,33,0,,,morning,day
CO1W2,2019,,Panoche,open,2,11/24/2008,1,34,0,,,morning,day
CO1W2,2019,,Panoche,open,2,11/24/2008,1,35,0,,,morning,day
CO1W2,2019,,Panoche,open,2,11/24/2008,1,36,0,,,morning,day
CO1W2,2019,,Panoche,open,2,11/24/2008,1,37,0,,,morning,day
CO1W2,2019,,Panoche,open,2,11/24/2008,1,38,0,,,morning,day
CO1W2,2019,,Panoche,open,2,11/24/2008,1,39,0,,,morning,day
CO1W2,2019,,Panoche,open,2,11/24/2008,1,40,0,,,morning,day
CO1W2,2019,,Panoche,open,2,11/24/2008,1,41,0,,,morning,day
CO1W2,2019,,Panoche,open,2,11/24/2008,1,42,0,,,morning,day
CO1W2,2019,,Panoche,open,2,11/24/2008,1,43,0,,,morning,day
CO1W2,2019,,Panoche,open,2,11/24/2008,1,44,0,,,morning,day
CO1W2,2019,,Panoche,open,2,11/24/2008,1,45,0,,,morning,day
CO1W2,2019,,Panoche,open,2,11/24/2008,1,46,0,,,morning,day
CO1W2,2019,,Panoche,open,2,11/24/2008,1,47,0,,,morning,day
CO1W2,2019,,Panoche,open,2,11/24/2008,1,48,0,,,morning,day
CO1W2,2019,,Panoche,open,2,11/24/2008,1,49,0,,,morning,day
CO1W2,2019,,Panoche,open,2,11/24/2008,1,50,0,,,morning,day
CO1W2,2019,,Panoche,open,2,11/24/2008,1,51,0,,,morning,day
CO1W2,2019,,Panoche,open,2,11/24/2008,1,52,0,,,morning,day
CO1W2,2019,,Panoche,open,2,11/24/2008,1,53,0,,,morning,day
CO1W2,2019,,Panoche,open,2,11/24/2008,1,54,0,,,morning,day
CO1W2,2019,,Panoche,open,2,11/24/2008,1,55,0,,,morning,day
CO1W2,2019,,Panoche,open,2,11/24/2008,1,56,0,,,morning,day
CO1W2,2019,,Panoche,open,2,11/24/2008,1,57,0,,,morning,day
CO1W2,2019,,Panoche,open,2,11/24/2008,1,58,0,,,morning,day
CO1W2,2019,,Panoche,open,2,11/24/2008,1,59,0,,,morning,day
CO1W2,2019,,Panoche,open,2,11/24/2008,1,60,0,,,morning,day
CO1W2,2019,,Panoche,open,2,11/24/2008,1,61,0,,,morning,day
CO1W2,2019,,Panoche,open,2,11/24/2008,1,62,0,,,morning,day
CO1W2,2019,,Panoche,open,2,11/24/2008,1,63,0,,,morning,day
CO1W2,2019,,Panoche,open,2,11/24/2008,1,64,0,,,morning,day
CO1W2,2019,,Panoche,open,2,11/24/2008,1,65,0,,,morning,day
CO1W2,2019,,Panoche,open,2,11/24/2008,1,66,0,,,morning,day
CO1W2,2019,,Panoche,open,2,11/24/2008,1,67,0,,,morning,day
CO1W2,2019,,Panoche,open,2,11/24/2008,1,68,0,,,morning,day
CO1W2,2019,,Panoche,open,2,11/24/2008,1,69,0,,,morning,day
CO1W2,2019,,Panoche,open,2,11/24/2008,1,70,0,,,morning,day
CO1W2,2019,,Panoche,open,2,11/24/2008,1,71,0,,,morning,day
CO1W2,2019,,Panoche,open,2,11/24/2008,1,72,0,,,morning,day
CO1W2,2019,,Panoche,open,2,11/24/2008,1,73,0,,,morning,day
CO1W2,2019,,Panoche,open,2,11/24/2008,1,74,0,,,morning,day
CO1W2,2019,,Panoche,open,2,11/24/2008,1,75,0,,,morning,day
CO1W2,2019,,Panoche,open,2,11/24/2008,1,76,0,,,morning,day
CO1W2,2019,,Panoche,open,2,11/24/2008,1,77,0,,,morning,day
CO1W2,2019,,Panoche,open,2,11/24/2008,1,78,0,,,morning,day
CO1W2,2019,,Panoche,open,2,11/24/2008,1,79,0,,,morning,day
CO1W2,2019,,Panoche,open,2,11/24/2008,1,80,0,,,morning,day
CO1W2,2019,,Panoche,open,2,11/24/2008,1,81,0,,,morning,day
CO1W2,2019,,Panoche,open,2,11/24/2008,1,82,0,,,morning,day
CO1W2,2019,,Panoche,open,2,11/24/2008,1,83,0,,,morning,day
CO1W2,2019,,Panoche,open,2,11/24/2008,1,84,0,,,morning,day
CO1W2,2019,,Panoche,open,2,11/24/2008,1,85,0,,,morning,day
CO1W2,2019,,Panoche,open,2,11/24/2008,1,86,0,,,morning,day
CO1W2,2019,,Panoche,open,2,11/24/2008,1,87,0,,,morning,day
CO1W2,2019,,Panoche,open,2,11/24/2008,1,88,0,,,morning,day
CO1W2,2019,,Panoche,open,2,11/24/2008,1,89,0,,,morning,day
CO1W2,2019,,Panoche,open,2,11/24/2008,1,90,0,,,morning,day
CO1W2,2019,,Panoche,open,2,11/24/2008,1,91,0,,,morning,day
CO1W2,2019,,Panoche,open,2,11/24/2008,1,92,0,,,morning,day
CO1W2,2019,,Panoche,open,2,11/24/2008,1,93,0,,,morning,day
CO1W2,2019,,Panoche,open,2,11/24/2008,1,94,0,,,morning,day
CO1W2,2019,,Panoche,open,2,11/24/2008,1,95,0,,,morning,day
CO1W2,2019,,Panoche,open,2,11/24/2008,1,96,0,,,morning,day
CO1W2,2019,,Panoche,open,2,11/24/2008,1,97,0,,,morning,day
CO1W2,2019,,Panoche,open,2,11/24/2008,1,98,0,,,morning,day
